Município;População_residente
230610 Irauçuba;22742
230620 Itaiçaba;7428
230625 Itaitinga;36814
230630 Itapajé;49130
230640 Itapipoca;119320
230650 Itapiúna;19009
230655 Itarema;38547
230660 Itatira;19401
230670 Jaguaretama;17839
230680 Jaguaribara;10652
230690 Jaguaribe;34317
230700 Jaguaruana;32614
230710 Jardim;26730
230720 Jati;7647
230725 Jijoca de Jericoacoara;17744
230730 Juazeiro do Norte;255648
230740 Jucás;23985
230750 Lavras da Mangabeira;31073
230760 Limoeiro do Norte;56255
230763 Madalena;18575
230765 Maracanaú;213404
230770 Maranguape;117306
230780 Marco;25349
230790 Martinópole;10458
230800 Massapê;36040
230810 Mauriti;44836
230820 Meruoca;14049
230830 Milagres;28204
230835 Milhã;13062
230837 Miraíma;13009
230840 Missão Velha;34529
230850 Mombaça;42891
230860 Monsenhor Tabosa;16760
230870 Morada Nova;61713
230880 Moraújo;8225
230890 Morrinhos;21119
230900 Mucambo;14146
230910 Mulungu;11876
230920 Nova Olinda;14586
230930 Nova Russas;31210
230940 Novo Oriente;27655
230945 Ocara;24373
230950 Orós;21294
230960 Pacajus;64521
230970 Pacatuba;75411
230980 Pacoti;11684
230990 Pacujá;6037
231000 Palhano;8972
231010 Palmácia;12330
231020 Paracuru;32255
231025 Paraipaba;30733
231030 Parambu;31160
231040 Paramoti;11360
231050 Pedra Branca;42064
231060 Penaforte;8483
231070 Pentecoste;35823
231080 Pereiro;15838
231085 Pindoretama;19247
231090 Piquet Carneiro;15820
231095 Pires Ferreira;10365
231100 Poranga;12041
231110 Porteiras;14971
231120 Potengi;10448
231123 Potiretama;6181
231126 Quiterianópolis;20158
231130 Quixadá;82258
231135 Quixelô;14911
231140 Quixeramobim;73812
231150 Quixeré;20810
231160 Redenção;26660
231170 Reriutaba;19179
231180 Russas;71723
231190 Saboeiro;15681
231195 Salitre;15684
231220 Santa Quitéria;42822
231200 Santana do Acaraú;30512
231210 Santana do Cariri;17219
231230 São Benedito;44825
231240 São Gonçalo do Amarante;45141
231250 São João do Jaguaribe;7788
231260 São Luís do Curu;12459
231270 Senador Pompeu;26382
231280 Senador Sá;7041
231290 Sobral;193134
231300 Solonópole;17768
231310 Tabuleiro do Norte;29522
231320 Tamboril;25397
231325 Tarrafas;8865
231330 Tauá;56307
231335 Tejuçuoca;17643
231340 Tianguá;70527
231350 Trairi;52464
231355 Tururu;14848
231360 Ubajara;32496
231370 Umari;7562
231375 Umirim;19023
231380 Uruburetama;20289
231390 Uruoca;13096
231395 Varjota;17745
231400 Várzea Alegre;38952
231410 Viçosa do Ceará;56394
240010 Acari;11012
240020 Açu;54031
240030 Afonso Bezerra;10841
240040 Água Nova;3026
240050 Alexandria;13467
240060 Almino Afonso;4823
240070 Alto do Rodrigues;12729
240080 Angicos;11538
240090 Antônio Martins;6930
240100 Apodi;34852
240110 Areia Branca;25736
240120 Arês;13166
240130 Augusto Severo;9330
240140 Baía Formosa;8687
240145 Baraúna;24977
240150 Barcelona;3944
240160 Bento Fernandes;5175
240165 Bodó;2373
240170 Bom Jesus;9566
240180 Brejinho;11769
240185 Caiçara do Norte;6043
240190 Caiçara do Rio do Vento;3375
240200 Caicó;63571
240210 Campo Redondo;10427
240220 Canguaretama;31506
240230 Caraúbas;19692
240240 Carnaúba dos Dantas;7559
240250 Carnaubais;10000
240260 Ceará-Mirim;69005
240270 Cerro Corá;10928
240280 Coronel Ezequiel;5405
240290 Coronel João Pessoa;4783
240300 Cruzeta;7942
240310 Currais Novos;42934
240320 Doutor Severiano;6954
240330 Encanto;5297
240340 Equador;5846
240350 Espírito Santo;10439
240360 Extremoz;25324
240370 Felipe Guerra;5765
240375 Fernando Pedroza;2885
240380 Florânia;8957
240390 Francisco Dantas;2852
240400 Frutuoso Gomes;4181
240410 Galinhos;2284
240420 Goianinha;23209
240430 Governador Dix-Sept Rosado;12465
240440 Grossos;9566
240450 Guamaré;13047
240460 Ielmo Marinho;12462
240470 Ipanguaçu;14148
240480 Ipueira;2104
240485 Itajá;7036
240490 Itaú;5609
240500 Jaçanã;8150
240510 Jandaíra;6838
240520 Janduís;5307
240530 Januário Cicco;9211
240540 Japi;5401
240550 Jardim de Angicos;2598
240560 Jardim de Piranhas;13735
240570 Jardim do Seridó;12124
240580 João Câmara;32677
240590 João Dias;2602
240600 José da Penha;5862
240610 Jucurutu;17749
240615 Jundiá;3635
240620 Lagoa d'Anta;6318
240630 Lagoa de Pedras;7079
240640 Lagoa de Velhos;2671
240650 Lagoa Nova;14274
240660 Lagoa Salgada;7679
240670 Lajes;10530
240680 Lajes Pintadas;4625
240690 Lucrécia;3696
240700 Luís Gomes;9679
240710 Macaíba;71670
240720 Macau;29446
240725 Major Sales;3625
240730 Marcelino Vieira;8249
240740 Martins;8293
240750 Maxaranguape;10810
240760 Messias Targino;4259
240770 Montanhas;11333
240780 Monte Alegre;20959
240790 Monte das Gameleiras;2219
240800 Mossoró;266758
240810 Natal;817590
240820 Nísia Floresta;24501
240830 Nova Cruz;35741
240840 Olho-d'Água do Borges;4270
240850 Ouro Branco;4704
240860 Paraná;4001
240870 Paraú;3824
240880 Parazinho;4924
240890 Parelhas;20511
240325 Parnamirim;214199
240910 Passa e Fica;11519
240920 Passagem;2925
240930 Patu;12084
240940 Pau dos Ferros;28197
240950 Pedra Grande;3447
240960 Pedra Preta;2552
240970 Pedro Avelino;7045
240980 Pedro Velho;14204
240990 Pendências;13739
241000 Pilões;3522
241010 Poço Branco;14204
241020 Portalegre;7407
241025 Porto do Mangue;5392
241040 Pureza;8645
241050 Rafael Fernandes;4760
241060 Rafael Godeiro;3080
241070 Riacho da Cruz;3241
241080 Riacho de Santana;4150
241090 Riachuelo;7265
240895 Rio do Fogo;10187
241100 Rodolfo Fernandes;4411
241110 Ruy Barbosa;3582
241120 Santa Cruz;36477
240933 Santa Maria;4911
241140 Santana do Matos;13481
241142 Santana do Seridó;2549
241150 Santo Antônio;22535
241160 São Bento do Norte;2915
241170 São Bento do Trairí;4005
241180 São Fernando;3427
241190 São Francisco do Oeste;3934
241200 São Gonçalo do Amarante;90376
241210 São João do Sabugi;5956
241220 São José de Mipibu;40511
241230 São José do Campestre;12413
241240 São José do Seridó;4300
241250 São Miguel;21994
241255 São Miguel do Gostoso;8835
241260 São Paulo do Potengi;16149
241270 São Pedro;6154
241280 São Rafael;8098
241290 São Tomé;10832
241300 São Vicente;6088
241310 Senador Elói de Souza;5729
241320 Senador Georgino Avelino;4018
241030 Serra Caiada;9035
241330 Serra de São Bento;5724
241335 Serra do Mel;10597
241340 Serra Negra do Norte;7805
241350 Serrinha;6480
241355 Serrinha dos Pintos;4577
241360 Severiano Melo;5848
241370 Sítio Novo;5107
241380 Taboleiro Grande;2361
241390 Taipu;11883
241400 Tangará;14486
241410 Tenente Ananias;10036
241415 Tenente Laurentino Cruz;5557
241105 Tibau;3761
241420 Tibau do Sul;11935
241430 Timbaúba dos Batistas;2312
241440 Touros;31574
241445 Triunfo Potiguar;3327
241450 Umarizal;10594
241460 Upanema;13295
241470 Várzea;5271
241475 Venha-Ver;3882
241480 Vera Cruz;11051
241490 Viçosa;1633
241500 Vila Flor;2924
250010 Água Branca;9611
250020 Aguiar;5514
250030 Alagoa Grande;28375
250040 Alagoa Nova;19849
250050 Alagoinha;13740
250053 Alcantil;5282
250057 Algodão de Jandaíra;2390
250060 Alhandra;18324
250073 Amparo;2119
250077 Aparecida;7832
250080 Araçagi;17093
250090 Arara;12820
250100 Araruna;19076
250110 Areia;23391
250115 Areia de Baraúnas;1901
250120 Areial;6536
250130 Aroeiras;19016
250135 Assunção;3607
250140 Baía da Traição;8243
250150 Bananeiras;21753
250153 Baraúna;4379
250160 Barra de Santa Rosa;14413
250157 Barra de Santana;8191
250170 Barra de São Miguel;5679
250180 Bayeux;100543
250190 Belém;17167
250200 Belém do Brejo do Cruz;7163
250205 Bernardino Batista;3153
250210 Boa Ventura;5625
250215 Boa Vista;6415
250220 Bom Jesus;2432
250230 Bom Sucesso;4998
250240 Bonito de Santa Fé;11042
250250 Boqueirão;17043
250270 Borborema;5169
250280 Brejo do Cruz;13313
250290 Brejo dos Santos;6236
250300 Caaporã;20653
250310 Cabaceiras;5148
250320 Cabedelo;60226
250330 Cachoeira dos Índios;9685
250340 Cacimba de Areia;3590
250350 Cacimba de Dentro;16885
250355 Cacimbas;6877
250360 Caiçara;7205
250370 Cajazeiras;59130
250375 Cajazeirinhas;3061
250380 Caldas Brandão;5710
250390 Camalaú;5793
250400 Campina Grande;389995
250403 Capim;5816
250407 Caraúbas;3951
250410 Carrapateira;2441
250415 Casserengue;7132
250420 Catingueira;4822
250430 Catolé do Rocha;29079
250435 Caturité;4598
250440 Conceição;18429
250450 Condado;6598
250460 Conde;22154
250470 Congo;4692
250480 Coremas;15152
250485 Coxixola;1802
250490 Cruz do Espírito Santo;16317
250500 Cubati;6939
250510 Cuité;19983
250523 Cuité de Mamanguape;6214
250520 Cuitegi;6834
250527 Curral de Cima;5192
250530 Curral Velho;2497
250535 Damião;4990
250540 Desterro;8035
250560 Diamante;6571
250570 Dona Inês;10438
250580 Duas Estradas;3611
250590 Emas;3356
250600 Esperança;31538
250610 Fagundes;11332
250620 Frei Martinho;2935
250625 Gado Bravo;8355
250630 Guarabira;55977
250640 Gurinhém;13877
250650 Gurjão;3215
250660 Ibiara;5978
250260 Igaracy;6134
250670 Imaculada;11423
250680 Ingá;17555
250690 Itabaiana;24372
250700 Itaporanga;23505
250710 Itapororoca;17354
250720 Itatuba;10326
250730 Jacaraú;13991
250740 Jericó;7557
250750 João Pessoa;742478
251365 Joca Claudino;2623
250760 Juarez Távora;7550
250770 Juazeirinho;17064
250780 Junco do Seridó;6745
250790 Juripiranga;10327
250800 Juru;9793
250810 Lagoa;4657
250820 Lagoa de Dentro;7413
250830 Lagoa Seca;26164
250840 Lastro;2800
250850 Livramento;7189
250855 Logradouro;4026
250860 Lucena;12029
250870 Mãe d'Água;3999
250880 Malta;5602
250890 Mamanguape;42537
250900 Manaíra;10803
250905 Marcação;7822
250910 Mari;21254
250915 Marizópolis;6257
250920 Massaranduba;13084
250930 Mataraca;7641
250933 Matinhas;4357
250937 Mato Grosso;2744
250939 Maturéia;6076
250940 Mogeiro;13178
250950 Montadas;5145
250960 Monte Horebe;4568
250970 Monteiro;31330
250980 Mulungu;9542
250990 Natuba;10278
251000 Nazarezinho;7252
251010 Nova Floresta;10514
251020 Nova Olinda;6012
251030 Nova Palmeira;4480
251040 Olho d'Água;6796
251050 Olivedos;3693
251060 Ouro Velho;2944
251065 Parari;1816
251070 Passagem;2272
251080 Patos;102020
251090 Paulista;11867
251100 Pedra Branca;3726
251110 Pedra Lavrada;7605
251120 Pedras de Fogo;27479
251272 Pedro Régis;5824
251130 Piancó;15555
251140 Picuí;18272
251150 Pilar;11330
251160 Pilões;6854
251170 Pilõezinhos;5114
251180 Pirpirituba;10346
251190 Pitimbu;17492
251200 Pocinhos;17357
251203 Poço Dantas;3740
251207 Poço de José de Moura;4046
251210 Pombal;32134
251220 Prata;3919
251230 Princesa Isabel;21744
251240 Puxinanã;13066
251250 Queimadas;41538
251260 Quixaba;1759
251270 Remígio;18075
251274 Riachão;3338
251275 Riachão do Bacamarte;4312
251276 Riachão do Poço;4235
251278 Riacho de Santo Antônio;1781
251280 Riacho dos Cavalos;8352
251290 Rio Tinto;23431
251300 Salgadinho;3612
251310 Salgado de São Félix;11966
251315 Santa Cecília;6533
251320 Santa Cruz;6471
251330 Santa Helena;5886
251335 Santa Inês;3538
251340 Santa Luzia;14826
251370 Santa Rita;121994
251380 Santa Teresinha;4559
251350 Santana de Mangueira;5265
251360 Santana dos Garrotes;7173
251385 Santo André;2545
251392 São Bentinho;4221
251390 São Bento;31582
251396 São Domingos;2909
251394 São Domingos do Cariri;2455
251398 São Francisco;3349
251400 São João do Cariri;4309
250070 São João do Rio do Peixe;17646
251410 São João do Tigre;4384
251420 São José da Lagoa Tapada;7560
251430 São José de Caiana;6052
251440 São José de Espinharas;4708
251450 São José de Piranhas;19281
251455 São José de Princesa;4106
251460 São José do Bonfim;3303
251465 São José do Brejo do Cruz;1707
251470 São José do Sabugi;4027
251480 São José dos Cordeiros;3709
251445 São José dos Ramos;5600
251490 São Mamede;7708
251500 São Miguel de Taipu;6789
251510 São Sebastião de Lagoa de Roça;11195
251520 São Sebastião do Umbuzeiro;3287
251540 São Vicente do Seridó;10400
251530 Sapé;50565
251550 Serra Branca;13101
251560 Serra da Raiz;3169
251570 Serra Grande;2994
251580 Serra Redonda;7012
251590 Serraria;6175
251593 Sertãozinho;4539
251597 Sobrado;7447
251600 Solânea;26323
251610 Soledade;13993
251615 Sossêgo;3256
251620 Sousa;66457
251630 Sumé;16215
251640 Tacima;10394
251650 Taperoá;14833
251660 Tavares;14182
251670 Teixeira;14352
251675 Tenório;2865
251680 Triunfo;9246
251690 Uiraúna;14721
251700 Umbuzeiro;9698
251710 Várzea;2573
251720 Vieirópolis;5102
250550 Vista Serrana;3572
251740 Zabelê;2109
260005 Abreu e Lima;95243
260010 Afogados da Ingazeira;35416
260020 Afrânio;17975
260030 Agrestina;23079
260040 Água Preta;33785
260050 Águas Belas;40778
260060 Alagoinha;13741
260070 Aliança;37450
260080 Altinho;22371
260090 Amaraji;22035
260100 Angelim;10372
260105 Araçoiaba;18617
260110 Araripina;78270
260120 Arcoverde;69880
260130 Barra de Guabiraba;13054
260140 Barreiros;40973
260150 Belém de Maria;11463
260160 Belém do São Francisco;20260
260170 Belo Jardim;72996
260180 Betânia;12109
260190 Bezerros;58864
260200 Bodocó;35676
260210 Bom Conselho;45983
260220 Bom Jardim;37949
260230 Bonito;37539
260240 Brejão;8834
260250 Brejinho;7312
260260 Brejo da Madre de Deus;46248
260270 Buenos Aires;12618
260280 Buíque;53304
260290 Cabo de Santo Agostinho;189222
260300 Cabrobó;31497
260310 Cachoeirinha;19088
260320 Caetés;26946
260330 Calçado;11051
260340 Calumbi;5643
260345 Camaragibe;146847
260350 Camocim de São Félix;17405
260360 Camutanga;8204
260370 Canhotinho;24461
260380 Capoeiras;19599
260390 Carnaíba;18707
260392 Carnaubeira da Penha;11991
260400 Carpina;76527
260410 Caruaru;324095
260415 Casinhas;13830
260420 Catende;38812
260430 Cedro;10964
260440 Chã de Alegria;12601
260450 Chã Grande;20399
260460 Condado;24658
260470 Correntes;17374
260480 Cortês;12418
260490 Cumaru;17470
260500 Cupira;23114
260510 Custódia;34442
260515 Dormentes;17296
260520 Escada;64422
260530 Exu;31518
260540 Feira Nova;20830
260545 Fernando de Noronha;2718
260550 Ferreiros;11537
260560 Flores;22162
260570 Floresta;29973
260580 Frei Miguelinho;14492
260590 Gameleira;28503
260600 Garanhuns;131169
260610 Glória do Goitá;29241
260620 Goiana;75902
260630 Granito;6968
260640 Gravatá;77845
260650 Iati;18462
260660 Ibimirim;27349
260670 Ibirajuba;7549
260680 Igarassu;105003
260690 Iguaracy;11824
260760 Ilha de Itamaracá;22794
260700 Inajá;19957
260710 Ingazeira;4486
260720 Ipojuca;83862
260730 Ipubi;28887
260740 Itacuruba;4475
260750 Itaíba;26175
260765 Itambé;35461
260770 Itapetim;13748
260775 Itapissuma;24321
260780 Itaquitinga;16221
260790 Jaboatão dos Guararapes;654786
260795 Jaqueira;11479
260800 Jataúba;16219
260805 Jatobá;14087
260810 João Alfredo;31305
260820 Joaquim Nabuco;15751
260825 Jucati;10742
260830 Jupi;13899
260840 Jurema;14662
260850 Lagoa de Itaenga;20733
260845 Lagoa do Carro;16408
260860 Lagoa do Ouro;12307
260870 Lagoa dos Gatos;15731
260875 Lagoa Grande;23308
260880 Lajedo;37296
260890 Limoeiro;55343
260900 Macaparana;24142
260910 Machados;14109
260915 Manari;18847
260920 Maraial;11961
260930 Mirandiba;14488
261430 Moreilândia;11020
260940 Moreno;57828
260950 Nazaré da Mata;31029
260960 Olinda;379271
260970 Orobó;22996
260980 Orocó;13536
260990 Ouricuri;65510
261000 Palmares;60091
261010 Palmeirina;8172
261020 Panelas;26005
261030 Paranatama;11100
261040 Parnamirim;20425
261050 Passira;28552
261060 Paudalho;52297
261070 Paulista;306239
261080 Pedra;21050
261090 Pesqueira;63519
261100 Petrolândia;33273
261110 Petrolina;305352
261120 Poção;11029
261130 Pombos;26086
261140 Primavera;13705
261150 Quipapá;24495
261153 Quixaba;6722
261160 Recife;1555039
261170 Riacho das Almas;19387
261180 Ribeirão;44950
261190 Rio Formoso;22361
261200 Sairé;10877
261210 Salgadinho;9641
261220 Salgueiro;57343
261230 Saloá;15355
261240 Sanharó;22896
261245 Santa Cruz;13946
261247 Santa Cruz da Baixa Verde;11901
261250 Santa Cruz do Capibaribe;91891
261255 Santa Filomena;13561
261260 Santa Maria da Boa Vista;39816
261270 Santa Maria do Cambucá;13215
261280 Santa Terezinha;11103
261290 São Benedito do Sul;14326
261300 São Bento do Una;54433
261310 São Caitano;35554
261320 São João;21549
261330 São Joaquim do Monte;20586
261340 São José da Coroa Grande;18816
261350 São José do Belmonte;32763
261360 São José do Egito;32186
261370 São Lourenço da Mata;104782
261380 São Vicente Ferrer;17151
261390 Serra Talhada;80489
261400 Serrita;18519
261410 Sertânia;34109
261420 Sirinhaém;41391
261440 Solidão;5777
261450 Surubim;59751
261460 Tabira;26784
261470 Tacaimbó;12695
261480 Tacaratu;22819
261485 Tamandaré;21234
261500 Taquaritinga do Norte;25681
261510 Terezinha;6803
261520 Terra Nova;9534
261530 Timbaúba;53360
261540 Toritama;37631
261550 Tracunhaém;13155
261560 Trindade;26749
261570 Triunfo;14987
261580 Tupanatinga;24973
261590 Tuparetama;7950
261600 Venturosa;16823
261610 Verdejante;9187
261618 Vertente do Lério;7773
261620 Vertentes;18716
261630 Vicência;31021
261640 Vitória de Santo Antão;129907
261650 Xexéu;14168
270010 Água Branca;19763
270020 Anadia;17360
270030 Arapiraca;218140
270040 Atalaia;44892
270050 Barra de Santo Antônio;14665
270060 Barra de São Miguel;7755
270070 Batalha;17420
270080 Belém;4635
270090 Belo Monte;6499
270100 Boca da Mata;26010
270110 Branquinha;10471
270120 Cacimbinhas;10307
270130 Cajueiro;20626
270135 Campestre;6655
270140 Campo Alegre;52327
270150 Campo Grande;9273
270160 Canapi;17238
270170 Capela;16728
270180 Carneiros;8548
270190 Chã Preta;7146
270200 Coité do Nóia;10765
270210 Colônia Leopoldina;20401
270220 Coqueiro Seco;5586
270230 Coruripe;53224
270235 Craíbas;22921
270240 Delmiro Gouveia;48876
270250 Dois Riachos;10838
270255 Estrela de Alagoas;17410
270260 Feira Grande;21342
270270 Feliz Deserto;4482
270280 Flexeiras;12378
270290 Girau do Ponciano;37858
270300 Ibateguara;15180
270310 Igaci;25129
270320 Igreja Nova;23570
270330 Inhapi;17839
270340 Jacaré dos Homens;5352
270350 Jacuípe;6950
270360 Japaratinga;7888
270370 Jaramataia;5524
270375 Jequiá da Praia;11887
270380 Joaquim Gomes;22853
270390 Jundiá;4142
270400 Junqueiro;24173
270410 Lagoa da Canoa;17988
270420 Limoeiro de Anadia;27069
270430 Maceió;953393
270440 Major Isidoro;19087
270490 Mar Vermelho;3588
270450 Maragogi;29794
270460 Maravilha;9981
270470 Marechal Deodoro;47504
270480 Maribondo;13389
270500 Mata Grande;24449
270510 Matriz de Camaragibe;23750
270520 Messias;16292
270530 Minador do Negrão;5251
270540 Monteirópolis;6952
270550 Murici;27030
270560 Novo Lino;12303
270570 Olho d'Água das Flores;20460
270580 Olho d'Água do Casado;8708
270590 Olho d'Água Grande;4967
270600 Olivença;11150
270610 Ouro Branco;10953
270620 Palestina;5201
270630 Palmeira dos Índios;70738
270640 Pão de Açúcar;23651
270642 Pariconha;10282
270644 Paripueira;11845
270650 Passo de Camaragibe;14802
270660 Paulo Jacinto;7412
270670 Penedo;60890
270680 Piaçabuçu;17268
270690 Pilar;33623
270700 Pindoba;2857
270710 Piranhas;23504
270720 Poço das Trincheiras;13845
270730 Porto Calvo;25974
270740 Porto de Pedras;8156
270750 Porto Real do Colégio;19288
270760 Quebrangulo;11330
270770 Rio Largo;68952
270780 Roteiro;6607
270790 Santa Luzia do Norte;6967
270800 Santana do Ipanema;45453
270810 Santana do Mundaú;10792
270820 São Brás;6744
270830 São José da Laje;22906
270840 São José da Tapera;30549
270850 São Luís do Quitunde;32846
270860 São Miguel dos Campos;56319
270870 São Miguel dos Milagres;7360
270880 São Sebastião;32446
270890 Satuba;15020
270895 Senador Rui Palmeira;13209
270900 Tanque d'Arca;6172
270910 Taquarana;18907
270915 Teotônio Vilela;41797
270920 Traipu;26369
270930 União dos Palmares;62923
270940 Viçosa;25384
280010 Amparo de São Francisco;2290
280020 Aquidabã;20315
280030 Aracaju;587701
280040 Arauá;9495
280050 Areia Branca;17164
280060 Barra dos Coqueiros;26059
280067 Boquim;25727
280070 Brejo Grande;7839
280100 Campo do Brito;16987
280110 Canhoba;3955
280120 Canindé de São Francisco;25733
280130 Capela;31402
280140 Carira;20345
280150 Carmópolis;14130
280160 Cedro de São João;5672
280170 Cristinápolis;16859
280190 Cumbe;3839
280200 Divina Pastora;4487
280210 Estância;65226
280220 Feira Nova;5363
280230 Frei Paulo;14162
280240 Gararu;11412
280250 General Maynard;3009
280260 Gracho Cardoso;5665
280270 Ilha das Flores;8359
280280 Indiaroba;16236
280290 Itabaiana;88501
280300 Itabaianinha;39432
280310 Itabi;4942
280320 Itaporanga d'Ajuda;31165
280330 Japaratuba;17213
280340 Japoatã;12926
280350 Lagarto;96602
280360 Laranjeiras;27442
280370 Macambira;6492
280380 Malhada dos Bois;3494
280390 Malhador;12127
280400 Maruim;16478
280410 Moita Bonita;11038
280420 Monte Alegre de Sergipe;13936
280430 Muribeca;7381
280440 Neópolis;18493
280445 Nossa Senhora Aparecida;8543
280450 Nossa Senhora da Glória;33341
280460 Nossa Senhora das Dores;24941
280470 Nossa Senhora de Lourdes;6271
280480 Nossa Senhora do Socorro;165194
280490 Pacatuba;13379
280500 Pedra Mole;3026
280510 Pedrinhas;8970
280520 Pinhão;6084
280530 Pirambu;8538
280540 Poço Redondo;31614
280550 Poço Verde;22287
280560 Porto da Folha;27370
280570 Propriá;28612
280580 Riachão do Dantas;19414
280590 Riachuelo;9509
280600 Ribeirópolis;17435
280610 Rosário do Catete;9541
280620 Salgado;19439
280630 Santa Luzia do Itanhy;14081
280650 Santa Rosa de Lima;3773
280640 Santana do São Francisco;7175
280660 Santo Amaro das Brotas;11522
280670 São Cristóvão;81011
280680 São Domingos;10424
280690 São Francisco;3524
280700 São Miguel do Aleixo;3736
280710 Simão Dias;38988
280720 Siriri;8169
280730 Telha;3006
280740 Tobias Barreto;48776
280750 Tomar do Geru;12858
280760 Umbaúba;23223
290010 Abaíra;8659
290020 Abaré;17685
290030 Acajutiba;14730
290035 Adustina;15914
290040 Água Fria;15884
290060 Aiquara;4536
290070 Alagoinhas;143460
290080 Alcobaça;21328
290090 Almadina;6130
290100 Amargosa;34845
290110 Amélia Rodrigues;25080
290115 América Dourada;15962
290120 Anagé;19889
290130 Andaraí;13942
290135 Andorinha;14209
290140 Angical;13992
290150 Anguera;10427
290160 Antas;17526
290170 Antônio Cardoso;11545
290180 Antônio Gonçalves;11229
290190 Aporá;17877
290195 Apuarema;7397
290205 Araças;11642
290200 Aracatu;13542
290210 Araci;52325
290220 Aramari;10483
290225 Arataca;10307
290230 Aratuípe;8632
290240 Aurelino Leal;13059
290250 Baianópolis;13420
290260 Baixa Grande;20031
290265 Banzaê;11840
290270 Barra;50134
290280 Barra da Estiva;20767
290290 Barra do Choça;35501
290300 Barra do Mendes;13914
290310 Barra do Rocha;6038
290320 Barreiras;141081
290323 Barro Alto;13914
290330 Barro Preto;6122
290327 Barrocas;14495
290340 Belmonte;22067
290350 Belo Campo;17625
290360 Biritinga;14866
290370 Boa Nova;14620
290380 Boa Vista do Tupim;17898
290390 Bom Jesus da Lapa;64740
290395 Bom Jesus da Serra;10120
290400 Boninal;13893
290405 Bonito;15126
290410 Boquira;22025
290420 Botuporã;10950
290430 Brejões;14123
290440 Brejolândia;11247
290450 Brotas de Macaúbas;10479
290460 Brumado;64972
290470 Buerarema;18528
290475 Buritirama;19853
290480 Caatiba;10576
290485 Cabaceiras do Paraguaçu;17582
290490 Cachoeira;32270
290500 Caculé;22577
290510 Caém;10013
290515 Caetanos;14926
290520 Caetité;47774
290530 Cafarnaum;17398
290540 Cairu;15973
290550 Caldeirão Grande;12658
290560 Camacan;31535
290570 Camaçari;255238
290580 Camamu;35366
290590 Campo Alegre de Lourdes;28156
290600 Campo Formoso;67305
290610 Canápolis;9395
290620 Canarana;24430
290630 Canavieiras;31902
290640 Candeal;8720
290650 Candeias;84121
290660 Candiba;13329
290670 Cândido Sales;25711
290680 Cansanção;33054
290682 Canudos;15941
290685 Capela do Alto Alegre;11485
290687 Capim Grosso;27067
290689 Caraíbas;9879
290690 Caravelas;21612
290700 Cardeal da Silva;9030
290710 Carinhanha;28519
290720 Casa Nova;66331
290730 Castro Alves;25555
290740 Catolândia;3215
290750 Catu;51734
290755 Caturama;8817
290760 Central;17057
290770 Chorrochó;10794
290780 Cícero Dantas;32470
290790 Cipó;15884
290800 Coaraci;19937
290810 Cocos;18235
290820 Conceição da Feira;20826
290830 Conceição do Almeida;17705
290840 Conceição do Coité;63033
290850 Conceição do Jacuípe;30717
290860 Conde;24103
290870 Condeúba;17421
290880 Contendas do Sincorá;4613
290890 Coração de Maria;22149
290900 Cordeiros;8245
290910 Coribe;14210
290920 Coronel João Sá;16650
290930 Correntina;31397
290940 Cotegipe;13614
290950 Cravolândia;5048
290960 Crisópolis;20199
290970 Cristópolis;13374
290980 Cruz das Almas;59470
290990 Curaçá;32631
291000 Dário Meira;12217
291005 Dias d'Ávila;69628
291010 Dom Basílio;11454
291020 Dom Macedo Costa;3894
291030 Elísio Medrado;7961
291040 Encruzilhada;22478
291050 Entre Rios;40180
290050 Érico Cardoso;10746
291060 Esplanada;33618
291070 Euclides da Cunha;56962
291072 Eunápolis;102628
291075 Fátima;17555
291077 Feira da Mata;6177
291080 Feira de Santana;568099
291085 Filadélfia;16672
291090 Firmino Alves;5417
291100 Floresta Azul;10657
291110 Formosa do Rio Preto;23169
291120 Gandu;30816
291125 Gavião;4510
291130 Gentio do Ouro;10690
291140 Glória;15114
291150 Gongogi;8031
291160 Governador Mangabeira;19926
291165 Guajeru;9182
291170 Guanambi;79936
291180 Guaratinga;21840
291185 Heliópolis;13099
291190 Iaçu;25319
291200 Ibiassucê;9607
291210 Ibicaraí;23560
291220 Ibicoara;17805
291230 Ibicuí;15650
291240 Ibipeba;17277
291250 Ibipitanga;14285
291260 Ibiquera;4874
291270 Ibirapitanga;22683
291280 Ibirapuã;8086
291290 Ibirataia;17959
291300 Ibitiara;15669
291310 Ibititá;17763
291320 Ibotirama;25617
291330 Ichu;5908
291340 Igaporã;15238
291345 Igrapiúna;13028
291350 Iguaí;26053
291360 Ilhéus;187315
291370 Inhambupe;37321
291380 Ipecaetá;15025
291390 Ipiaú;44538
291400 Ipirá;59001
291410 Ipupiara;9398
291420 Irajuba;7046
291430 Iramaia;11150
291440 Iraquara;23246
291450 Irará;27814
291460 Irecê;67527
291465 Itabela;28790
291470 Itaberaba;62037
291480 Itabuna;205885
291490 Itacaré;25254
291500 Itaeté;15063
291510 Itagi;12805
291520 Itagibá;15088
291530 Itagimirim;7013
291535 Itaguaçu da Bahia;13487
291540 Itaju do Colônia;7118
291550 Itajuípe;20878
291560 Itamaraju;63037
291570 Itamari;7836
291580 Itambé;22650
291590 Itanagra;7590
291600 Itanhém;20015
291610 Itaparica;20994
291620 Itapé;10436
291630 Itapebi;10398
291640 Itapetinga;69903
291650 Itapicuru;33008
291660 Itapitanga;10181
